,semantic,bm25,hybrid
Query_1,0.54077065,0.6710469790790529,0.42023809523809524
Query_2,0.55207413,1.0,0.3916666666666667
Query_3,0.5340025,0.6772709140864708,0.375
Query_4,0.56945014,0.8889564573816916,0.39611111111111114
Query_5,0.53882116,0.6015858721805891,0.3533333333333334
