quote,author,tags,cleaned_quote,cleaned_author
"“Books are the perfect entertainment: no commercials, no batteries, hours of enjoyment for each dollar spent. What I wonder is why everybody doesn't carry a book around for those inevitable dead spots in life.”",Stephen King,[],book perfect entertainment commercial battery hour enjoyment dollar spent wonder everybody doesnt carry book around inevitable dead spot life,stephen king
“Attitude is a choice. Happiness is a choice. Optimism is a choice. Kindness is a choice. Giving is a choice. Respect is a choice. Whatever choice you make makes you. Choose wisely.”,"Roy T. Bennett,",[],attitude choice happiness choice optimism choice kindness choice giving choice respect choice whatever choice make make choose wisely,roy bennett
“You can't stay in your corner of the Forest waiting for others to come to you. You have to go to them sometimes.”,"A.A. Milne,",[],cant stay corner forest waiting others come go sometimes,aa milne
"“The fault, dear Brutus, is not in our stars, but in ourselves.”","William Shakespeare,",[],fault dear brutus star,william shakespeare
“Out beyond ideas of wrongdoing and rightdoing there is a field.I'll meet you there.When the soul lies down in that grassthe world is too full to talk about.”,Rumi,[],beyond idea wrongdoing rightdoing fieldill meet therewhen soul lie grassthe world full talk,rumi
"“We have to dare to be ourselves, however frightening or strange that self may prove to be.”",May Sarton,[],dare however frightening strange self may prove,may sarton
"“This is a good sign, having a broken heart. It means we have tried for something.”","Elizabeth Gilbert,",[],good sign broken heart mean tried something,elizabeth gilbert
"“Eleanor was right. She never looked nice. She looked like art, and art wasn't supposed to look nice; it was supposed to make you feel something.”","Rainbow Rowell,",[],eleanor right never looked nice looked like art art wasnt supposed look nice supposed make feel something,rainbow rowell
“Isn't it nice to think that tomorrow is a new day with no mistakes in it yet?”,L.M. Montgomery,[],isnt nice think tomorrow new day mistake yet,lm montgomery
"“I DON'T CARE!"" Harry yelled at them, snatching up a lunascope and throwing it into the fireplace. ""I'VE HAD ENOUGH, I'VE SEEN ENOUGH, I WANT OUT, I WANT IT TO END, I DON'T CARE ANYMORE!""""You do care,"" said Dumbledore. He had not flinched or made a single move to stop Harry demolishing his office. His expression was calm, almost detached. ""You care so much you feel as though you will bleed to death with the pain of it.”","J.K. Rowling,",[],dont care harry yelled snatching lunascope throwing fireplace ive enough ive seen enough want want end dont care anymoreyou care said dumbledore flinched made single move stop harry demolishing office expression calm almost detached care much feel though bleed death pain,jk rowling
“Anyone who lives within their means suffers from a lack of imagination.”,Oscar Wilde,[],anyone life within mean suffers lack imagination,oscar wilde
"“I do not want people to be very agreeable, as it saves me the trouble of liking them a great deal.”","Jane Austen,",[],want people agreeable save trouble liking great deal,jane austen
"“And I'm suppose to sit by while you date boys and fall in love with someone else, get married...?"" His voice tightened. ""And meanwhile, I'll die a little bit more every day, watching.”","Cassandra Clare,",[],im suppose sit date boy fall love someone else get married voice tightened meanwhile ill die little bit every day watching,cassandra clare
"“And so the lion fell in love with the lambâ€¦"" he murmured. I looked away, hiding my eyes as I thrilled to the word.""What a stupid lamb,"" I sighed.""What a sick, masochistic lion.”","Stephenie Meyer,",[],lion fell love lamb murmured looked away hiding eye thrilled wordwhat stupid lamb sighedwhat sick masochistic lion,stephenie meyer
"“Let us read, and let us dance; these two amusements will never do any harm to the world.”",Voltaire,[],let u read let u dance two amusement never harm world,voltaire
"“Unless someone like you cares a whole awful lot,Nothing is going to get better. It's not.”","Dr. Seuss,",[],unless someone like care whole awful lotnothing going get better,dr seuss
“Life is a book and there are a thousand pages I have not yet read.”,"Cassandra Clare,",[],life book thousand page yet read,cassandra clare
"“There will come a time when all of us are dead. All of us. There will come a time when there are no human beings remaining to remember that anyone ever existed or that our species ever did anything. There will be no one left to remember Aristotle or Cleopatra, let alone you. Everything that we did and built and wrote and thought and discovered will be forgotten and all of this will have been for naught. Maybe that time is coming soon and maybe it is millions of years away, but even if we survive the collapse of our sun, we will not survive forever. There was time before organisms experienced consciousness, and there will be time after. And if the inevitability of human oblivion worries you, I encourage you to ignore it. God knows thatâ€™s what everyone else does.”","John Green,",[],come time u dead u come time human being remaining remember anyone ever existed specie ever anything one left remember aristotle cleopatra let alone everything built wrote thought discovered forgotten naught maybe time coming soon maybe million year away even survive collapse sun survive forever time organism experienced consciousness time inevitability human oblivion worry encourage ignore god know thats everyone else,john green
"“Deep in the meadow, hidden far awayA cloak of leaves, a moonbeam rayForget your woes and let your troubles layAnd when it's morning again, they'll wash awayHere it's safe, here it's warmHere the daisies guard you from every harmHere your dreams are sweet and tomorrow brings them trueHere is the place where I love you.”","Suzanne Collins,",[],deep meadow hidden far awaya cloak leaf moonbeam rayforget woe let trouble layand morning theyll wash awayhere safe warmhere daisy guard every harmhere dream sweet tomorrow brings truehere place love,suzanne collins
"“Some books should be tasted, some devoured, but only a few should be chewed and digested thoroughly.”",Sir Francis Bacon,[],book tasted devoured chewed digested thoroughly,sir francis bacon
"“Tell me, what is it you plan to do with your one wild and precious life?”",Mary Oliver,[],tell plan one wild precious life,mary oliver
"“To the people who look at the stars and wish, Rhys.""Rhys clinked his glass against mine. â€œTo the stars who listenâ€” and the dreams that are answered.”","Sarah J. Maas,",[],people look star wish rhysrhys clinked glass mine star listen dream answered,sarah j maas
"“For those who believe in God, most of the big questions are answered. But for those of us who can't readily accept the God formula, the big answers don't remain stone-written. We adjust to new conditions and discoveries. We are pliable. Love need not be a command nor faith a dictum. I am my own god. We are here to unlearn the teachings of the church, state, and our educational system. We are here to drink beer. We are here to kill war. We are here to laugh at the odds and live our lives so well that Death will tremble to take us.”",Charles Bukowski,[],believe god big question answered u cant readily accept god formula big answer dont remain stonewritten adjust new condition discovery pliable love need command faith dictum god unlearn teaching church state educational system drink beer kill war laugh odds live life well death tremble take u,charles bukowski
“The planet is fine. The people are fucked.”,George Carlin,[],planet fine people fucked,george carlin
“Never laugh at live dragons.”,J.R.R. Tolkien,[],never laugh live dragon,jrr tolkien
"“It is the unknown we fear when we look upon death and darkness, nothing more.”","J.K. Rowling,",[],unknown fear look upon death darkness nothing,jk rowling
“It is the mark of an educated mind to be able to entertain a thought without accepting it.”,"Aristotle,",[],mark educated mind able entertain thought without accepting,aristotle
"“I wanted so badly to lie down next to her on the couch, to wrap my arms around her and sleep. Not fuck, like in those movies. Not even have sex. Just sleep together in the most innocent sense of the phrase. But I lacked the courage and she had a boyfriend and I was gawky and she was gorgeous and I was hopelessly boring and she was endlessly fascinating. So I walked back to my room and collapsed on the bottom bunk, thinking that if people were rain, I was drizzle and she was hurricane.”","John Green,",[],wanted badly lie next couch wrap arm around sleep fuck like movie even sex sleep together innocent sense phrase lacked courage boyfriend gawky gorgeous hopelessly boring endlessly fascinating walked back room collapsed bottom bunk thinking people rain drizzle hurricane,john green
"“When I have a little money, I buy books; and if I have any left, I buy food and clothes.”",Desiderius Erasmus Roterodamus,[],little money buy book left buy food clothes,desiderius erasmus roterodamus
"“Hereâ€™s to books, the cheapest vacation you can buy.”",Charlaine Harris,[],here book cheapest vacation buy,charlaine harris
“Eating and reading are two pleasures that combine admirably.”,C.S. Lewis,[],eating reading two pleasure combine admirably,c lewis
"“I heard what you said. Iâ€™m not the silly romantic you think. I donâ€™t want the heavens or the shooting stars. I donâ€™t want gemstones or gold. I have those things already. I wantâ€¦a steady hand. A kind soul. I want to fall asleep, and wake, knowing my heart is safe. I want to love, and be loved.”",Shana Abe,[],heard said im silly romantic think dont want heaven shooting star dont want gemstone gold thing already wanta steady hand kind soul want fall asleep wake knowing heart safe want love loved,shana abe
“If you expect nothing from somebody you are never disappointed.”,"Sylvia Plath,",[],expect nothing somebody never disappointed,sylvia plath
"“I believe in everything until it's disproved. So I believe in fairies, the myths, dragons. It all exists, even if it's in your mind. Who's to say that dreams and nightmares aren't as real as the here and now?”",John Lennon,[],believe everything disproved believe fairy myth dragon exists even mind who say dream nightmare arent real,john lennon
“Reading is one form of escape. Running for your life is another.”,Lemony Snicket,[],reading one form escape running life another,lemony snicket
“How lucky I am to have known somebody and something that saying goodbye to is so damned awful.”,"Evans G. Valens,",[],lucky known somebody something saying goodbye damned awful,evans g valens
"“Every saint has a past, and every sinner has a future.”",Oscar Wilde,[],every saint past every sinner future,oscar wilde
"“The secret of life, though, is to fall seven times and to get up eight times.”","Paulo Coelho,",[],secret life though fall seven time get eight time,paulo coelho
"“I might be in love with you."" He smiles a little. ""I'm waiting until I'm sure to tell you, though.”","Veronica Roth,",[],might love smile little im waiting im sure tell though,veronica roth
"“A guy and a girl can be just friends, but at one point or another, they will fall for each other...Maybe temporarily, maybe at the wrong time, maybe too late, or maybe forever”",Dave Matthews Band,[],guy girl friend one point another fall othermaybe temporarily maybe wrong time maybe late maybe forever,dave matthew band
"“The more I know of the world, the more I am convinced that I shall never see a man whom I can really love. I require so much!”","Jane Austen,",[],know world convinced shall never see man really love require much,jane austen
“Hope is the thing with feathers That perches in the soul And sings the tune without the words And never stops at all.”,Emily Dickinson,[],hope thing feather perch soul sings tune without word never stop,emily dickinson
“Any fool can know. The point is to understand.”,Albert Einstein,[],fool know point understand,albert einstein
"“Reality is merely an illusion, albeit a very persistent one.”",Albert Einstein,[],reality merely illusion albeit persistent one,albert einstein
"“Do you remember back at the hotel when you promised that if we lived, youâ€™d get dressed up in a nurseâ€™s outfit and give me a sponge bath?"" asked Jace.""It was Simon who promised you the sponge bath.""""As soon as Iâ€™m back on my feet, handsome,"" said Simon.""I knew we should have left you a rat.”","Cassandra Clare,",[],remember back hotel promised lived youd get dressed nurse outfit give sponge bath asked jaceit simon promised sponge bathas soon im back foot handsome said simoni knew left rat,cassandra clare
"“You can talk with someone for years, everyday, and still, it won't mean as much as what you can have when you sit in front of someone, not saying a word, yet you feel that person with your heart, you feel like you have known the person for forever.... connections are made with the heart, not the tongue.”",C. JoyBell C.,[],talk someone year everyday still wont mean much sit front someone saying word yet feel person heart feel like known person forever connection made heart tongue,c joybell c
“Those who dream by day are cognizant of many things which escape those who dream only by night.”,"Edgar Allan Poe,",[],dream day cognizant many thing escape dream night,edgar allan poe
"“I took a deep breath and listened to the old brag of my heart. I am, I am, I am.”","Sylvia Plath,",[],took deep breath listened old brag heart,sylvia plath
"“One, remember to look up at the stars and not down at your feet. Two, never give up work. Work gives you meaning and purpose and life is empty without it. Three, if you are lucky enough to find love, remember it is there and don't throw it away.”",Stephen Hawking,[],one remember look star foot two never give work work give meaning purpose life empty without three lucky enough find love remember dont throw away,stephen hawking
"“Sometimes you climb out of bed in the morning and you think, I'm not going to make it, but you laugh inside â€” remembering all the times you've felt that way.”",Charles Bukowski,[],sometimes climb bed morning think im going make laugh inside remembering time youve felt way,charles bukowski
“The world is a book and those who do not travel read only one page.”,St. Augustine,[],world book travel read one page,st augustine
“There are no good girls gone wrong - just bad girls found out.”,Mae West,[],good girl gone wrong bad girl found,mae west
“You get a little moody sometimes but I think that's because you like to read. People that like to read are always a little fucked up.”,"Pat Conroy,",[],get little moody sometimes think thats like read people like read always little fucked,pat conroy
“Never go to bed mad. Stay up and fight.”,Phyllis Diller,[],never go bed mad stay fight,phyllis diller
“Donâ€™t go around saying the world owes you a living. The world owes you nothing. It was here first.”,Mark Twain,[],dont go around saying world owes living world owes nothing first,mark twain
"“If we knew what it was we were doing, it would not be called research, would it?”",Albert Einstein,[],knew would called research would,albert einstein
"“One day I will find the right words, and they will be simple.”","Jack Kerouac,",[],one day find right word simple,jack kerouac
“Life can only be understood backwards; but it must be lived forwards.”,SÃ¸ren Kierkegaard,[],life understood backwards must lived forward,sren kierkegaard
“Faithless is he that says farewell when the road darkens.”,"J.R.R. Tolkien,",[],faithless say farewell road darkens,jrr tolkien
“Pain is inevitable. Suffering is optional.”,"haruki murakami,",[],pain inevitable suffering optional,haruki murakami
"“If a cluttered desk is a sign of a cluttered mind, of what, then, is an empty desk a sign?”",Laurence J. Peter,[],cluttered desk sign cluttered mind empty desk sign,laurence j peter
“I am not young enough to know everything.”,Oscar Wilde,[],young enough know everything,oscar wilde
"“We live and breathe words. .... It was books that made me feel that perhaps I was not completely alone. They could be honest with me, and I with them. Reading your words, what you wrote, how you were lonely sometimes and afraid, but always brave; the way you saw the world, its colors and textures and sounds, I felt--I felt the way you thought, hoped, felt, dreamt. I felt I was dreaming and thinking and feeling with you. I dreamed what you dreamed, wanted what you wanted--and then I realized that truly I just wanted you.”","Cassandra Clare,",[],live breathe word book made feel perhaps completely alone could honest reading word wrote lonely sometimes afraid always brave way saw world color texture sound felti felt way thought hoped felt dreamt felt dreaming thinking feeling dreamed dreamed wanted wantedand realized truly wanted,cassandra clare
“I have no special talents. I am only passionately curious.”,Albert Einstein,[],special talent passionately curious,albert einstein
“I like work: it fascinates me. I can sit and look at it for hours.”,Jerome K. Jerome,[],like work fascinates sit look hour,jerome k jerome
“Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.”,"Roy T. Bennett,",[],dont pushed around fear mind led dream heart,roy bennett
"“When I was 5 years old, my mother always told me that happiness was the key to life. When I went to school, they asked me what I wanted to be when I grew up. I wrote down â€˜happyâ€™. They told me I didnâ€™t understand the assignment, and I told them they didnâ€™t understand life.”",John Lennon,[],year old mother always told happiness key life went school asked wanted grew wrote happy told didnt understand assignment told didnt understand life,john lennon
"“If you're reading this...Congratulations, you're alive.If that's not something to smile about,then I don't know what is.”","Chad Sugg,",[],youre reading thiscongratulations youre aliveif thats something smile aboutthen dont know,chad sugg
"“That's always seemed so ridiculous to me, that people want to be around someone because they're pretty. It's like picking your breakfeast cereals based on color instead of taste.”","John Green,",[],thats always seemed ridiculous people want around someone theyre pretty like picking breakfeast cereal based color instead taste,john green
“Sarcasm is the last refuge of the imaginatively bankrupt.”,"Cassandra Clare,",[],sarcasm last refuge imaginatively bankrupt,cassandra clare
"“Malachi scowled. ""I don't remember the Clave inviting you into the Glass City, Magnus Bane.""""They didn't,"" Magnus said. ""Your wards are down.""""Really?"" the Consul's voice dripped sarcasm. ""I hadn't noticed.""Magnus looked concerned. ""That's terrible. Someone should have told you."" He glanced at Luke. ""Tell him the wards are down.”","Cassandra Clare,",[],malachi scowled dont remember clave inviting glass city magnus banethey didnt magnus said ward downreally consul voice dripped sarcasm hadnt noticedmagnus looked concerned thats terrible someone told glanced luke tell ward,cassandra clare
“I have decided to stick to love...Hate is too great a burden to bear.”,"Martin Luther King Jr.,",[],decided stick lovehate great burden bear,martin luther king jr
"“I wanted you to see what real courage is, instead of getting the idea that courage is a man with a gun in his hand. It's when you know you're licked before you begin, but you begin anyway and see it through no matter what.- Atticus Finch”","Harper Lee,",[],wanted see real courage instead getting idea courage man gun hand know youre licked begin begin anyway see matter atticus finch,harper lee
“Always do what you are afraid to do.”,Ralph Waldo Emerson,[],always afraid,ralph waldo emerson
"“A life spent making mistakes is not only more honorable, but more useful than a life spent doing nothing.”",George Bernard Shaw,[],life spent making mistake honorable useful life spent nothing,george bernard shaw
"“They say a person needs just three things to be truly happy in this world: someone to love, something to do, and something to hope for.”",Tom Bodett,[],say person need three thing truly happy world someone love something something hope,tom bodett
"“I've never been lonely. I've been in a room -- I've felt suicidal. I've been depressed. I've felt awful -- awful beyond all -- but I never felt that one other person could enter that room and cure what was bothering me...or that any number of people could enter that room. In other words, loneliness is something I've never been bothered with because I've always had this terrible itch for solitude. It's being at a party, or at a stadium full of people cheering for something, that I might feel loneliness. I'll quote Ibsen, ""The strongest men are the most alone."" I've never thought, ""Well, some beautiful blonde will come in here and give me a fuck-job, rub my balls, and I'll feel good."" No, that won't help. You know the typical crowd, ""Wow, it's Friday night, what are you going to do? Just sit there?"" Well, yeah. Because there's nothing out there. It's stupidity. Stupid people mingling with stupid people. Let them stupidify themselves. I've never been bothered with the need to rush out into the night. I hid in bars, because I didn't want to hide in factories. That's all. Sorry for all the millions, but I've never been lonely. I like myself. I'm the best form of entertainment I have. Let's drink more wine!”",Charles Bukowski,[],ive never lonely ive room ive felt suicidal ive depressed ive felt awful awful beyond never felt one person could enter room cure bothering meor number people could enter room word loneliness something ive never bothered ive always terrible itch solitude party stadium full people cheering something might feel loneliness ill quote ibsen strongest men alone ive never thought well beautiful blonde come give fuckjob rub ball ill feel good wont help know typical crowd wow friday night going sit well yeah there nothing stupidity stupid people mingling stupid people let stupidify ive never bothered need rush night hid bar didnt want hide factory thats sorry million ive never lonely like im best form entertainment let drink wine,charles bukowski
"“There is neither happiness nor misery in the world; there is only the comparison of one state with another, nothing more. He who has felt the deepest grief is best able to experience supreme happiness. We must have felt what it is to die, Morrel, that we may appreciate the enjoyments of life. "" Live, then, and be happy, beloved children of my heart, and never forget, that until the day God will deign to reveal the future to man, all human wisdom is contained in these two words, 'Wait and Hope.”",Alexandre Dumas,[],neither happiness misery world comparison one state another nothing felt deepest grief best able experience supreme happiness must felt die morrel may appreciate enjoyment life live happy beloved child heart never forget day god deign reveal future man human wisdom contained two word wait hope,alexandre duma
"“Monsters are real, and ghosts are real too. They live inside us, and sometimes, they win.”",Stephen King,[],monster real ghost real live inside u sometimes win,stephen king
“What's meant to be will always find a way”,Trisha Yearwood,[],whats meant always find way,trisha yearwood
“Make it a rule never to give a child a book you would not read yourself.”,George Bernard Shaw,[],make rule never give child book would read,george bernard shaw
“In a time of deceit telling the truth is a revolutionary act.”,George Orwell,[],time deceit telling truth revolutionary act,george orwell
“Our lives begin to end the day we become silent about things that matter.”,"Martin Luther King Jr.,",[],life begin end day become silent thing matter,martin luther king jr
"“The mind is its own place, and in itself can make a heaven of hell, a hell of heaven..”","John Milton,",[],mind place make heaven hell hell heaven,john milton
"“We delight in the beauty of the butterfly, but rarely admit the changes it has gone through to achieve that beauty.”",Maya Angelou,[],delight beauty butterfly rarely admit change gone achieve beauty,maya angelou
"“I think that if I ever have kids, and they are upset, I won't tell them that people are starving in China or anything like that because it wouldn't change the fact that they were upset. And even if somebody else has it much worse, that doesn't really change the fact that you have what you have.”","Stephen Chbosky,",[],think ever kid upset wont tell people starving china anything like wouldnt change fact upset even somebody else much worse doesnt really change fact,stephen chbosky
“Talent hits a target no one else can hit. Genius hits a target no one else can see.”,Arthur Schopenhauer,[],talent hit target one else hit genius hit target one else see,arthur schopenhauer
"“When his life was ruined, his family killed, his farm destroyed, Job knelt down on the ground and yelled up to the heavens, ""Why god? Why me?"" and the thundering voice of God answered, There's just something about you that pisses me off.”","Stephen King,",[],life ruined family killed farm destroyed job knelt ground yelled heaven god thundering voice god answered there something piss,stephen king
"“There are two motives for reading a book; one, that you enjoy it; the other, that you can boast about it.”",Bertrand Russell,[],two motif reading book one enjoy boast,bertrand russell
"“It is a curious thing, the death of a loved one. We all know that our time in this world is limited, and that eventually all of us will end up underneath some sheet, never to wake up. And yet it is always a surprise when it happens to someone we know. It is like walking up the stairs to your bedroom in the dark, and thinking there is one more stair than there is. Your foot falls down, through the air, and there is a sickly moment of dark surprise as you try and readjust the way you thought of things.”","Lemony Snicket,",[],curious thing death loved one know time world limited eventually u end underneath sheet never wake yet always surprise happens someone know like walking stair bedroom dark thinking one stair foot fall air sickly moment dark surprise try readjust way thought thing,lemony snicket
"“Of all sad words of tongue or pen, the saddest are these, 'It might have been.”","John Greenleaf Whittier,",[],sad word tongue pen saddest might,john greenleaf whittier
"“I'm coming back into focus when Caesar asks him if he has a girlfriend back home. Peeta hesitates, then gives an unconvincing shake of his head.Handsome lad like you. There must be some special girl. Come on, whatâ€™s her name?"" says Caesar.Peeta sighs. ""Well, there is this one girl. Iâ€™ve had a crush on her ever since I can remember. But Iâ€™m pretty sure she didnâ€™t know I was alive until the reaping.""Sounds of sympathy from the crowd. Unrequited love they can relate to.She have another fellow?"" asks Caesar.I donâ€™t know, but a lot of boys like her,"" says Peeta.So, hereâ€™s what you do. You win, you go home. She canâ€™t turn you down then, eh?"" says Caesar encouragingly.I donâ€™t think itâ€™s going to work out. Winning...wonâ€™t help in my case,"" says Peeta.Why ever not?"" says Caesar, mystified.Peeta blushes beet red and stammers out. ""Because...because...she came here with me.”","Suzanne Collins,",[],im coming back focus caesar asks girlfriend back home peeta hesitates give unconvincing shake headhandsome lad like must special girl come whats name say caesarpeeta sigh well one girl ive crush ever since remember im pretty sure didnt know alive reapingsounds sympathy crowd unrequited love relate toshe another fellow asks caesari dont know lot boy like say peetaso here win go home cant turn eh say caesar encouraginglyi dont think going work winningwont help case say peetawhy ever say caesar mystifiedpeeta blush beet red stammer becausebecauseshe came,suzanne collins
"“The boy never cried again, and he never forgot what he'd learned: that to love is to destroy, and that to be loved is to be the one destroyed.”","Cassandra Clare,",[],boy never cried never forgot hed learned love destroy loved one destroyed,cassandra clare
“Experience is merely the name men gave to their mistakes.”,"Oscar Wilde,",[],experience merely name men gave mistake,oscar wilde
"“In the end, we will remember not the words of our enemies, but the silence of our friends.”",Martin Luther King Jr.,[],end remember word enemy silence friend,martin luther king jr
“The flower that blooms in adversity is the rarest and most beautiful of all.”,"Walt Disney Company,",[],flower bloom adversity rarest beautiful,walt disney company
"“Do not let your fire go out, spark by irreplaceable spark in the hopeless swamps of the not-quite, the not-yet, and the not-at-all. Do not let the hero in your soul perish in lonely frustration for the life you deserved and have never been able to reach. The world you desire can be won. It exists.. it is real.. it is possible.. it's yours.”","Ayn Rand,",[],let fire go spark irreplaceable spark hopeless swamp notquite notyet notatall let hero soul perish lonely frustration life deserved never able reach world desire exists real possible,ayn rand
“THE FIRST TEN LIES THEY TELL YOU IN HIGH SCHOOL 1. We are here to help you. 2. You will have time to get to your class before the bell rings. 3. The dress code will be enforced. 4. No smoking is allowed on school grounds. 5. Our football team will win the championship this year. 6. We expect more of you here. 7. Guidance counselors are always available to listen. 8. Your schedule was created with you in mind. 9. Your locker combination is private. 10. These will be the years you look back on fondly. TEN MORE LIES THEY TELL YOU IN HIGH SCHOOL 1. You will use algebra in your adult lives. 2. Driving to school is a privilege that can be taken away. 3. Students must stay on campus during lunch. 4. The new text books will arrive any day now. 5. Colleges care more about you than your SAT scores. 6. We are enforcing the dress code. 7. We will figure out how to turn off the heat soon. 8. Our bus drivers are highly trained professionals. 9. There is nothing wrong with summer school. 10. We want to hear what you have to say.”,"Laurie Halse Anderson,",[],first ten lie tell high school help time get class bell ring dress code enforced smoking allowed school ground football team win championship year expect guidance counselor always available listen schedule created mind locker combination private year look back fondly ten lie tell high school use algebra adult life driving school privilege taken away student must stay campus lunch new text book arrive day college care sat score enforcing dress code figure turn heat soon bus driver highly trained professional nothing wrong summer school want hear say,laurie halse anderson
“And the day came when the risk to remain tight in a bud was more painful than the risk it took to blossom.”,Anais Nin,[],day came risk remain tight bud painful risk took blossom,anais nin
"“There is a theory which states that if ever anyone discovers exactly what the Universe is for and why it is here, it will instantly disappear and be replaced by something even more bizarre and inexplicable. There is another theory which states that this has already happened.”","Douglas Adams,",[],theory state ever anyone discovers exactly universe instantly disappear replaced something even bizarre inexplicable another theory state already happened,douglas adam
"“Give a girl the right shoes, and she can conquer the world.”",Bette Midler,[],give girl right shoe conquer world,bette midler
"“Augustus Waters was a self-aggrandizing bastard. But we forgive him. We forgive him not because he had a heart as figuratively good as his literal one sucked, or because he knew more about how to hold a cigarette than any nonsmoker in history, or because he got eighteen years when he should've gotten more.''Seventeen,' Gus corrected.'I'm assuming you've got some time, you interupting bastard.'I'm telling you,' Isaac continued, 'Augustus Waters talked so much that he'd interupt you at his own funeral. And he was pretentious: Sweet Jesus Christ, that kid never took a piss without pondering the abundant metaphorical resonances of human waste production. And he was vain: I do not believe I have ever met a more physically attractive person who was more acutely aware of his own physical attractiveness.'But I will say this: When the scientists of the future show up at my house with robot eyes and they tell me to try them on, I will tell the scientists to screw off, because I do not want to see a world without him.'I was kind of crying by then.”","John Green,",[],augustus water selfaggrandizing bastard forgive forgive heart figuratively good literal one sucked knew hold cigarette nonsmoker history got eighteen year shouldve gotten moreseventeen gu correctedim assuming youve got time interupting bastardim telling isaac continued augustus water talked much hed interupt funeral pretentious sweet jesus christ kid never took piss without pondering abundant metaphorical resonance human waste production vain believe ever met physically attractive person acutely aware physical attractivenessbut say scientist future show house robot eye tell try tell scientist screw want see world without himi kind cry,john green
“A thing is not necessarily true because a man dies for it.”,Oscar Wilde,[],thing necessarily true man dy,oscar wilde
"“Somewhere, something incredible is waiting to be known.”",Carl Sagan,[],somewhere something incredible waiting known,carl sagan
“It is so hard to leaveâ€”until you leave. And then it is the easiest goddamned thing in the world.”,"John Green,",[],hard leaveuntil leave easiest goddamned thing world,john green
"“You have enemies? Good. That means you've stood up for something, sometime in your life.”",Winston Churchill,[],enemy good mean youve stood something sometime life,winston churchill
“Hearts are made to be broken.”,"Oscar Wilde,",[],heart made broken,oscar wilde
"“Once you learn to read, you will be forever free.”",Frederick Douglass,[],learn read forever free,frederick douglas
"“You think your pain and your heartbreak are unprecedented in the history of the world, but then you read. It was books that taught me that the things that tormented me most were the very things that connected me with all the people who were alive, who had ever been alive.”",James Baldwin,[],think pain heartbreak unprecedented history world read book taught thing tormented thing connected people alive ever alive,james baldwin
“Faith is taking the first step even when you can't see the whole staircase.”,Martin Luther King Jr.,[],faith taking first step even cant see whole staircase,martin luther king jr
“Think of all the beauty still left around you and be happy.”,Anne Frank,[],think beauty still left around happy,anne frank
"“Instead of worrying about what you cannot control, shift your energy to what you can create.”","Roy T. Bennett,",[],instead worrying control shift energy create,roy bennett
"“Whether you think you can, or you think you can't--you're right.”",Henry Ford,[],whether think think cantyoure right,henry ford
"“The loneliest moment in someoneâ€™s life is when they are watching their whole world fall apart, and all they can do is stare blankly.”",F. Scott Fitzgerald,[],loneliest moment someone life watching whole world fall apart stare blankly,f scott fitzgerald
"“It is hard enough to remember my opinions, without also remembering my reasons for them!”",Friedrich Nietzsche,[],hard enough remember opinion without also remembering reason,friedrich nietzsche
"“I saw my life branching out before me like the green fig tree in the story. From the tip of every branch, like a fat purple fig, a wonderful future beckoned and winked. One fig was a husband and a happy home and children, and another fig was a famous poet and another fig was a brilliant professor, and another fig was Ee Gee, the amazing editor, and another fig was Europe and Africa and South America, and another fig was Constantin and Socrates and Attila and a pack of other lovers with queer names and offbeat professions, and another fig was an Olympic lady crew champion, and beyond and above these figs were many more figs I couldn't quite make out. I saw myself sitting in the crotch of this fig tree, starving to death, just because I couldn't make up my mind which of the figs I would choose. I wanted each and every one of them, but choosing one meant losing all the rest, and, as I sat there, unable to decide, the figs began to wrinkle and go black, and, one by one, they plopped to the ground at my feet.”","Sylvia Plath,",[],saw life branching like green fig tree story tip every branch like fat purple fig wonderful future beckoned winked one fig husband happy home child another fig famous poet another fig brilliant professor another fig ee gee amazing editor another fig europe africa south america another fig constantin socrates attila pack lover queer name offbeat profession another fig olympic lady crew champion beyond fig many fig couldnt quite make saw sitting crotch fig tree starving death couldnt make mind fig would choose wanted every one choosing one meant losing rest sat unable decide fig began wrinkle go black one one plopped ground foot,sylvia plath
"“Why did you do all this for me?' he asked. 'I don't deserve it. I've never done anything for you.' 'You have been my friend,' replied Charlotte. 'That in itself is a tremendous thing.”","E.B. White,",[],asked dont deserve ive never done anything friend replied charlotte tremendous thing,eb white
"“There is nothing either good or bad, but thinking makes it so.”","William Shakespear,",[],nothing either good bad thinking make,william shakespear
“Fantasy is hardly an escape from reality. It's a way of understanding it.”,Lloyd Alexander,[],fantasy hardly escape reality way understanding,lloyd alexander
"“The world is indeed full of peril, and in it there are many dark places; but still there is much that is fair, and though in all lands love is now mingled with grief, it grows perhaps the greater.”","J.R.R. Tolkien,",[],world indeed full peril many dark place still much fair though land love mingled grief grows perhaps greater,jrr tolkien
"“Two people in love, alone, isolated from the world, that's beautiful.”",Milan Kundera,[],two people love alone isolated world thats beautiful,milan kundera
“I want to stand as close to the edge as I can without going over. Out on the edge you see all kinds of things you can't see from the center.”,"Kurt Vonnegut,",[],want stand close edge without going edge see kind thing cant see center,kurt vonnegut
“Books so special and rare and yours that advertising your affection feels like a betrayal.”,"John Green,",[],book special rare advertising affection feel like betrayal,john green
"“I did not attend his funeral, but I sent a nice letter saying I approved of it.”",Mark Twain,[],attend funeral sent nice letter saying approved,mark twain
